# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.014099 0.935063
0.080808 0.028198 1.854185
0.121212 0.042297 2.757367
0.161616 0.056396 3.644609
0.202020 0.070495 4.515910
0.242424 0.084594 5.371271
0.282828 0.098693 6.210692
0.323232 0.112792 7.034173
0.363636 0.126892 7.841713
0.404040 0.140991 8.633313
0.444444 0.155090 9.408973
0.484848 0.169189 10.168693
0.525253 0.183288 10.912472
0.565657 0.197387 11.640311
0.606061 0.211486 12.352210
0.646465 0.225585 13.048169
0.686869 0.239684 13.728187
0.727273 0.253783 14.392265
0.767677 0.267882 15.040402
0.808081 0.281981 15.672600
0.848485 0.296080 16.288857
0.888889 0.310179 16.889174
0.929293 0.324278 17.473551
0.969697 0.338377 18.041987
1.010101 0.352476 18.594483
1.050505 0.366576 19.131039
1.090909 0.380675 19.651654
1.131313 0.394774 20.156330
1.171717 0.408873 20.645065
1.212121 0.422972 21.117859
1.252525 0.437071 21.574714
1.292929 0.451170 22.015628
1.333333 0.465269 22.440602
1.373737 0.479368 22.849635
1.414141 0.493467 23.242729
1.454545 0.507566 23.619882
1.494949 0.521665 23.981095
1.535354 0.535764 24.326367
1.575758 0.549863 24.655700
1.616162 0.563962 24.969092
1.656566 0.578061 25.266543
1.696970 0.592160 25.548055
1.737374 0.606259 25.813626
1.777778 0.620359 26.063257
1.818182 0.634458 26.296948
1.858586 0.648557 26.514698
1.898990 0.662656 26.716508
1.939394 0.676755 26.902378
1.979798 0.690854 27.072308
2.020202 0.704953 27.226297
2.060606 0.719052 27.364346
2.101010 0.733151 27.486455
2.141414 0.747250 27.592623
2.181818 0.761349 27.682852
2.222222 0.775448 27.757140
2.262626 0.789547 27.815487
2.303030 0.803646 27.857895
2.343434 0.817745 27.884362
2.383838 0.831844 27.894889
2.424242 0.845943 27.889475
2.464646 0.860043 27.868122
2.505051 0.874142 27.830828
2.545455 0.888241 27.777594
2.585859 0.902340 27.708419
2.626263 0.916439 27.623304
2.666667 0.930538 27.522249
2.707071 0.944637 27.405254
2.747475 0.958736 27.272319
2.787879 0.972835 27.123443
2.828283 0.986934 26.958627
2.868687 1.001033 26.777870
2.909091 1.015132 26.581174
2.949495 1.029231 26.368537
2.989899 1.043330 26.139960
3.030303 1.057429 25.895442
3.070707 1.071528 25.634985
3.111111 1.085627 25.358587
3.151515 1.099727 25.066248
3.191919 1.113826 24.757970
3.232323 1.127925 24.433751
3.272727 1.142024 24.093592
3.313131 1.156123 23.737493
3.353535 1.170222 23.365453
3.393939 1.184321 22.977473
3.434343 1.198420 22.573553
3.474747 1.212519 22.153693
3.515152 1.226618 21.717892
3.555556 1.240717 21.266151
3.595960 1.254816 20.798470
3.636364 1.268915 20.314848
3.676768 1.283014 19.815287
3.717172 1.297113 19.299785
3.757576 1.311212 18.768342
3.797980 1.325311 18.220960
3.838384 1.339411 17.657637
3.878788 1.353510 17.078374
3.919192 1.367609 16.483171
3.959596 1.381708 15.872027
4.000000 1.395807 15.244943
