# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.072761 1.184253
0.080808 0.145521 2.352611
0.121212 0.218282 3.505075
0.161616 0.291042 4.641644
0.202020 0.363803 5.762319
0.242424 0.436564 6.867100
0.282828 0.509324 7.955986
0.323232 0.582085 9.028977
0.363636 0.654846 10.086074
0.404040 0.727606 11.127277
0.444444 0.800367 12.152585
0.484848 0.873127 13.161999
0.525253 0.945888 14.155518
0.565657 1.018649 15.133143
0.606061 1.091409 16.094874
0.646465 1.164170 17.040710
0.686869 1.236930 17.970651
0.727273 1.309691 18.884698
0.767677 1.382452 19.782851
0.808081 1.455212 20.665109
0.848485 1.527973 21.531473
0.888889 1.600734 22.381942
0.929293 1.673494 23.216517
0.969697 1.746255 24.035198
1.010101 1.819015 24.837983
1.050505 1.891776 25.624875
1.090909 1.964537 26.395872
1.131313 2.037297 27.150975
1.171717 2.110058 27.890183
1.212121 2.182818 28.613497
1.252525 2.255579 29.320916
1.292929 2.328340 30.012441
1.333333 2.401100 30.688071
1.373737 2.473861 31.347807
1.414141 2.546622 31.991648
1.454545 2.619382 32.619595
1.494949 2.692143 33.231648
1.535354 2.764903 33.827806
1.575758 2.837664 34.408070
1.616162 2.910425 34.972439
1.656566 2.983185 35.520914
1.696970 3.055946 36.053494
1.737374 3.128706 36.570180
1.777778 3.201467 37.070971
1.818182 3.274228 37.555868
1.858586 3.346988 38.024871
1.898990 3.419749 38.477979
1.939394 3.492509 38.915193
1.979798 3.565270 39.336512
2.020202 3.638031 39.741937
2.060606 3.710791 40.131467
2.101010 3.783552 40.505103
2.141414 3.856313 40.862844
2.181818 3.929073 41.204691
2.222222 4.001834 41.530644
2.262626 4.074594 41.840702
2.303030 4.147355 42.134865
2.343434 4.220116 42.413135
2.383838 4.292876 42.675509
2.424242 4.365637 42.921990
2.464646 4.438397 43.152575
2.505051 4.511158 43.367267
2.545455 4.583919 43.566064
2.585859 4.656679 43.748966
2.626263 4.729440 43.915974
2.666667 4.802201 44.067088
2.707071 4.874961 44.202307
2.747475 4.947722 44.321632
2.787879 5.020482 44.425062
2.828283 5.093243 44.512598
2.868687 5.166004 44.584239
2.909091 5.238764 44.639986
2.949495 5.311525 44.679838
2.989899 5.384285 44.703796
3.030303 5.457046 44.711860
3.070707 5.529807 44.704029
3.111111 5.602567 44.680303
3.151515 5.675328 44.640684
3.191919 5.748089 44.585169
3.232323 5.820849 44.513761
3.272727 5.893610 44.426458
3.313131 5.966370 44.323260
3.353535 6.039131 44.204168
3.393939 6.111892 44.069181
3.434343 6.184652 43.918300
3.474747 6.257413 43.751525
3.515152 6.330173 43.568855
3.555556 6.402934 43.370291
3.595960 6.475695 43.155832
3.636364 6.548455 42.925479
3.676768 6.621216 42.679231
3.717172 6.693977 42.417089
3.757576 6.766737 42.139053
3.797980 6.839498 41.845122
3.838384 6.912258 41.535296
3.878788 6.985019 41.209576
3.919192 7.057780 40.867962
3.959596 7.130540 40.510453
4.000000 7.203301 40.137050
