# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.035236 0.774796
0.080808 0.070473 1.533650
0.121212 0.105709 2.276562
0.161616 0.140946 3.003530
0.202020 0.176182 3.714557
0.242424 0.211419 4.409641
0.282828 0.246655 5.088782
0.323232 0.281891 5.751981
0.363636 0.317128 6.399238
0.404040 0.352364 7.030552
0.444444 0.387601 7.645923
0.484848 0.422837 8.245353
0.525253 0.458074 8.828839
0.565657 0.493310 9.396383
0.606061 0.528546 9.947985
0.646465 0.563783 10.483644
0.686869 0.599019 11.003361
0.727273 0.634256 11.507135
0.767677 0.669492 11.994967
0.808081 0.704728 12.466856
0.848485 0.739965 12.922803
0.888889 0.775201 13.362807
0.929293 0.810438 13.786869
0.969697 0.845674 14.194988
1.010101 0.880911 14.587165
1.050505 0.916147 14.963400
1.090909 0.951383 15.323692
1.131313 0.986620 15.668041
1.171717 1.021856 15.996448
1.212121 1.057093 16.308913
1.252525 1.092329 16.605435
1.292929 1.127566 16.886014
1.333333 1.162802 17.150652
1.373737 1.198038 17.399346
1.414141 1.233275 17.632098
1.454545 1.268511 17.848908
1.494949 1.303748 18.049775
1.535354 1.338984 18.234700
1.575758 1.374221 18.403682
1.616162 1.409457 18.556722
1.656566 1.444693 18.693819
1.696970 1.479930 18.814974
1.737374 1.515166 18.920186
1.777778 1.550403 19.009456
1.818182 1.585639 19.082784
1.858586 1.620876 19.140169
1.898990 1.656112 19.181611
1.939394 1.691348 19.207111
1.979798 1.726585 19.216668
2.020202 1.761821 19.210283
2.060606 1.797058 19.187956
2.101010 1.832294 19.149686
2.141414 1.867530 19.095474
2.181818 1.902767 19.025319
2.222222 1.938003 18.939221
2.262626 1.973240 18.837182
2.303030 2.008476 18.719199
2.343434 2.043713 18.585274
2.383838 2.078949 18.435407
2.424242 2.114185 18.269597
2.464646 2.149422 18.087845
2.505051 2.184658 17.890150
2.545455 2.219895 17.676513
2.585859 2.255131 17.446934
2.626263 2.290368 17.201412
2.666667 2.325604 16.939947
2.707071 2.360840 16.662540
2.747475 2.396077 16.369190
2.787879 2.431313 16.059898
2.828283 2.466550 15.734664
2.868687 2.501786 15.393487
2.909091 2.537023 15.036367
2.949495 2.572259 14.663305
2.989899 2.607495 14.274301
3.030303 2.642732 13.869354
3.070707 2.677968 13.448465
3.111111 2.713205 13.011633
3.151515 2.748441 12.558859
3.191919 2.783677 12.090142
3.232323 2.818914 11.605483
3.272727 2.854150 11.104881
3.313131 2.889387 10.588337
3.353535 2.924623 10.055850
3.393939 2.959860 9.507421
3.434343 2.995096 8.943049
3.474747 3.030332 8.362735
3.515152 3.065569 7.766478
3.555556 3.100805 7.154279
3.595960 3.136042 6.526138
3.636364 3.171278 5.882054
3.676768 3.206515 5.222027
3.717172 3.241751 4.546058
3.757576 3.276987 3.854147
3.797980 3.312224 3.146293
3.838384 3.347460 2.422497
3.878788 3.382697 1.682758
3.919192 3.417933 0.927076
3.959596 3.453170 0.155452
4.000000 3.488406 -0.632114
