# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.027694 0.736885
0.080808 0.055388 1.457641
0.121212 0.083082 2.162268
0.161616 0.110775 2.850766
0.202020 0.138469 3.523135
0.242424 0.166163 4.179375
0.282828 0.193857 4.819487
0.323232 0.221551 5.443470
0.363636 0.249245 6.051323
0.404040 0.276938 6.643048
0.444444 0.304632 7.218644
0.484848 0.332326 7.778111
0.525253 0.360020 8.321450
0.565657 0.387714 8.848659
0.606061 0.415408 9.359740
0.646465 0.443102 9.854691
0.686869 0.470795 10.333514
0.727273 0.498489 10.796208
0.767677 0.526183 11.242773
0.808081 0.553877 11.673209
0.848485 0.581571 12.087517
0.888889 0.609265 12.485695
0.929293 0.636958 12.867745
0.969697 0.664652 13.233665
1.010101 0.692346 13.583457
1.050505 0.720040 13.917120
1.090909 0.747734 14.234654
1.131313 0.775428 14.536059
1.171717 0.803122 14.821336
1.212121 0.830815 15.090483
1.252525 0.858509 15.343502
1.292929 0.886203 15.580392
1.333333 0.913897 15.801152
1.373737 0.941591 16.005784
1.414141 0.969285 16.194288
1.454545 0.996978 16.366662
1.494949 1.024672 16.522907
1.535354 1.052366 16.663024
1.575758 1.080060 16.787011
1.616162 1.107754 16.894870
1.656566 1.135448 16.986600
1.696970 1.163142 17.062201
1.737374 1.190835 17.121673
1.777778 1.218529 17.165016
1.818182 1.246223 17.192231
1.858586 1.273917 17.203316
1.898990 1.301611 17.198273
1.939394 1.329305 17.177101
1.979798 1.356999 17.139800
2.020202 1.384692 17.086370
2.060606 1.412386 17.016811
2.101010 1.440080 16.931123
2.141414 1.467774 16.829307
2.181818 1.495468 16.711361
2.222222 1.523162 16.577287
2.262626 1.550855 16.427084
2.303030 1.578549 16.260752
2.343434 1.606243 16.078291
2.383838 1.633937 15.879701
2.424242 1.661631 15.664982
2.464646 1.689325 15.434135
2.505051 1.717019 15.187158
2.545455 1.744712 14.924053
2.585859 1.772406 14.644819
2.626263 1.800100 14.349456
2.666667 1.827794 14.037964
2.707071 1.855488 13.710343
2.747475 1.883182 13.366593
2.787879 1.910875 13.006715
2.828283 1.938569 12.630708
2.868687 1.966263 12.238571
2.909091 1.993957 11.830306
2.949495 2.021651 11.405912
2.989899 2.049345 10.965389
3.030303 2.077039 10.508737
3.070707 2.104732 10.035957
3.111111 2.132426 9.547047
3.151515 2.160120 9.042009
3.191919 2.187814 8.520842
3.232323 2.215508 7.983546
3.272727 2.243202 7.430121
3.313131 2.270895 6.860567
3.353535 2.298589 6.274884
3.393939 2.326283 5.673073
3.434343 2.353977 5.055132
3.474747 2.381671 4.421063
3.515152 2.409365 3.770865
3.555556 2.437059 3.104537
3.595960 2.464752 2.422081
3.636364 2.492446 1.723497
3.676768 2.520140 1.008783
3.717172 2.547834 0.277940
3.757576 2.575528 -0.469031
3.797980 2.603222 -1.232131
3.838384 2.630915 -2.011361
3.878788 2.658609 -2.806719
3.919192 2.686303 -3.618206
3.959596 2.713997 -4.445821
4.000000 2.741691 -5.289566
