# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.079918 0.881389
0.080808 0.159835 1.746636
0.121212 0.239753 2.595741
0.161616 0.319671 3.428704
0.202020 0.399588 4.245525
0.242424 0.479506 5.046205
0.282828 0.559424 5.830743
0.323232 0.639341 6.599139
0.363636 0.719259 7.351393
0.404040 0.799177 8.087505
0.444444 0.879094 8.807475
0.484848 0.959012 9.511304
0.525253 1.038930 10.198990
0.565657 1.118847 10.870535
0.606061 1.198765 11.525938
0.646465 1.278683 12.165200
0.686869 1.358600 12.788319
0.727273 1.438518 13.395297
0.767677 1.518436 13.986132
0.808081 1.598353 14.560826
0.848485 1.678271 15.119378
0.888889 1.758189 15.661789
0.929293 1.838106 16.188057
0.969697 1.918024 16.698184
1.010101 1.997942 17.192168
1.050505 2.077859 17.670011
1.090909 2.157777 18.131712
1.131313 2.237695 18.577271
1.171717 2.317612 19.006689
1.212121 2.397530 19.419964
1.252525 2.477448 19.817098
1.292929 2.557365 20.198090
1.333333 2.637283 20.562940
1.373737 2.717200 20.911648
1.414141 2.797118 21.244215
1.454545 2.877036 21.560639
1.494949 2.956953 21.860922
1.535354 3.036871 22.145063
1.575758 3.116789 22.413062
1.616162 3.196706 22.664919
1.656566 3.276624 22.900635
1.696970 3.356542 23.120208
1.737374 3.436459 23.323640
1.777778 3.516377 23.510930
1.818182 3.596295 23.682078
1.858586 3.676212 23.837084
1.898990 3.756130 23.975948
1.939394 3.836048 24.098671
1.979798 3.915965 24.205252
2.020202 3.995883 24.295691
2.060606 4.075801 24.369988
2.101010 4.155718 24.428143
2.141414 4.235636 24.470156
2.181818 4.315554 24.496028
2.222222 4.395471 24.505758
2.262626 4.475389 24.499346
2.303030 4.555307 24.476792
2.343434 4.635224 24.438096
2.383838 4.715142 24.383258
2.424242 4.795060 24.312279
2.464646 4.874977 24.225158
2.505051 4.954895 24.121894
2.545455 5.034813 24.002489
2.585859 5.114730 23.866943
2.626263 5.194648 23.715254
2.666667 5.274566 23.547424
2.707071 5.354483 23.363451
2.747475 5.434401 23.163337
2.787879 5.514319 22.947081
2.828283 5.594236 22.714684
2.868687 5.674154 22.466144
2.909091 5.754072 22.201463
2.949495 5.833989 21.920639
2.989899 5.913907 21.623674
3.030303 5.993825 21.310567
3.070707 6.073742 20.981318
3.111111 6.153660 20.635928
3.151515 6.233578 20.274395
3.191919 6.313495 19.896721
3.232323 6.393413 19.502905
3.272727 6.473331 19.092947
3.313131 6.553248 18.666847
3.353535 6.633166 18.224606
3.393939 6.713084 17.766222
3.434343 6.793001 17.291697
3.474747 6.872919 16.801030
3.515152 6.952837 16.294221
3.555556 7.032754 15.771270
3.595960 7.112672 15.232178
3.636364 7.192590 14.676943
3.676768 7.272507 14.105567
3.717172 7.352425 13.518049
3.757576 7.432343 12.914389
3.797980 7.512260 12.294587
3.838384 7.592178 11.658643
3.878788 7.672096 11.006558
3.919192 7.752013 10.338331
3.959596 7.831931 9.653962
4.000000 7.911848 8.953451
