# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.080589 0.859866
0.080808 0.161179 1.703546
0.121212 0.241768 2.531039
0.161616 0.322357 3.342345
0.202020 0.402947 4.137464
0.242424 0.483536 4.916397
0.282828 0.564125 5.679143
0.323232 0.644715 6.425702
0.363636 0.725304 7.156075
0.404040 0.805893 7.870261
0.444444 0.886483 8.568260
0.484848 0.967072 9.250073
0.525253 1.047661 9.915698
0.565657 1.128250 10.565138
0.606061 1.208840 11.198390
0.646465 1.289429 11.815456
0.686869 1.370018 12.416335
0.727273 1.450608 13.001027
0.767677 1.531197 13.569533
0.808081 1.611786 14.121852
0.848485 1.692376 14.657984
0.888889 1.772965 15.177930
0.929293 1.853554 15.681689
0.969697 1.934144 16.169261
1.010101 2.014733 16.640646
1.050505 2.095322 17.095845
1.090909 2.175912 17.534857
1.131313 2.256501 17.957683
1.171717 2.337090 18.364321
1.212121 2.417680 18.754773
1.252525 2.498269 19.129039
1.292929 2.578858 19.487117
1.333333 2.659448 19.829009
1.373737 2.740037 20.154714
1.414141 2.820626 20.464233
1.454545 2.901216 20.757565
1.494949 2.981805 21.034710
1.535354 3.062394 21.295668
1.575758 3.142984 21.540440
1.616162 3.223573 21.769025
1.656566 3.304162 21.981424
1.696970 3.384751 22.177635
1.737374 3.465341 22.357660
1.777778 3.545930 22.521498
1.818182 3.626519 22.669150
1.858586 3.707109 22.800615
1.898990 3.787698 22.915893
1.939394 3.868287 23.014984
1.979798 3.948877 23.097889
2.020202 4.029466 23.164607
2.060606 4.110055 23.215139
2.101010 4.190645 23.249483
2.141414 4.271234 23.267641
2.181818 4.351823 23.269613
2.222222 4.432413 23.255397
2.262626 4.513002 23.224995
2.303030 4.593591 23.178406
2.343434 4.674181 23.115631
2.383838 4.754770 23.036669
2.424242 4.835359 22.941520
2.464646 4.915949 22.830184
2.505051 4.996538 22.702662
2.545455 5.077127 22.558953
2.585859 5.157717 22.399057
2.626263 5.238306 22.222975
2.666667 5.318895 22.030706
2.707071 5.399485 21.822250
2.747475 5.480074 21.597608
2.787879 5.560663 21.356778
2.828283 5.641252 21.099763
2.868687 5.721842 20.826560
2.909091 5.802431 20.537171
2.949495 5.883020 20.231595
2.989899 5.963610 19.909832
3.030303 6.044199 19.571883
3.070707 6.124788 19.217747
3.111111 6.205378 18.847424
3.151515 6.285967 18.460915
3.191919 6.366556 18.058219
3.232323 6.447146 17.639336
3.272727 6.527735 17.204266
3.313131 6.608324 16.753010
3.353535 6.688914 16.285567
3.393939 6.769503 15.801937
3.434343 6.850092 15.302121
3.474747 6.930682 14.786118
3.515152 7.011271 14.253928
3.555556 7.091860 13.705552
3.595960 7.172450 13.140989
3.636364 7.253039 12.560239
3.676768 7.333628 11.963303
3.717172 7.414218 11.350180
3.757576 7.494807 10.720870
3.797980 7.575396 10.075373
3.838384 7.655985 9.413690
3.878788 7.736575 8.735820
3.919192 7.817164 8.041763
3.959596 7.897753 7.331520
4.000000 7.978343 6.605090
