0.601780 0.255102 0.005021
0.470498 0.952101 0.688037
0.512310 0.758338 0.032036
0.247612 0.454936 0.876338
0.445730 0.032046 0.777705
0.336733 0.098654 0.127072
0.257443 0.898715 0.100137
0.807621 0.513642 0.314527
0.908504 0.662285 0.480021
0.341079 0.725972 0.477641
0.727674 0.297513 0.600826
0.386456 0.187329 0.827013
0.250078 0.807637 0.817011
0.094634 0.765974 0.782112
0.200899 0.226095 0.729300
0.939185 0.196791 0.306559
0.076950 0.407101 0.731528
0.361687 0.805614 0.848043
0.142043 0.345469 0.252868
0.603811 0.080655 0.934318
0.295939 0.090443 0.676756
0.043917 0.121319 0.934154
0.853636 0.377025 0.423035
0.234335 0.993693 0.245140
0.665395 0.597533 0.846791
0.503519 0.630732 0.869973
0.532993 0.737168 0.203012
0.791471 0.959873 0.324223
0.175560 0.097959 0.062569
0.645365 0.950829 0.182352
0.882706 0.158016 0.594629
0.531696 0.329192 0.194513
0.946909 0.133257 0.141850
0.388977 0.065281 0.094310
0.206725 0.086077 0.334008
0.194454 0.816462 0.180688
0.190548 0.991343 0.965544
0.854885 0.269050 0.372056
0.585346 0.292581 0.014707
0.718237 0.359583 0.691978
0.733072 0.656810 0.904994
0.755013 0.838481 0.757523
0.945879 0.580138 0.534599
0.278459 0.016414 0.983696
0.585625 0.222041 0.716355
0.635884 0.490760 0.911673
0.668420 0.198126 0.996921
0.110013 0.516153 0.333807
0.731384 0.710322 0.790916
0.912429 0.416188 0.187868
0.321867 0.360716 0.417069
0.741676 0.573338 0.488140
0.208695 0.106988 0.252604
0.916474 0.760541 0.389632
0.871672 0.978505 0.001533
0.728285 0.016025 0.456418
0.755109 0.047013 0.431474
0.365495 0.733811 0.768948
0.416774 0.506917 0.277446
0.900579 0.976289 0.109427
0.546783 0.858453 0.323913
0.070098 0.781527 0.805645
0.189830 0.777287 0.012245
0.614879 0.818315 0.331665
0.541140 0.688091 0.067505
0.079830 0.943027 0.148199
0.701002 0.801041 0.142792
0.757260 0.511341 0.104327
0.233923 0.211476 0.012091
0.809667 0.674318 0.857878
0.689922 0.440364 0.586487
0.938719 0.405426 0.464970
0.692763 0.962386 0.291590
0.676414 0.249425 0.578949
0.138498 0.114028 0.239397
0.834256 0.985322 0.320541
0.748685 0.624991 0.544970
0.112305 0.722521 0.662033
0.995517 0.452088 0.591340
0.783348 0.654810 0.533166
0.878494 0.359108 0.908275
0.111391 0.324041 0.799625
