# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.062418 1.018606
0.080808 0.124836 2.021295
0.121212 0.187254 3.008068
0.161616 0.249671 3.978923
0.202020 0.312089 4.933862
0.242424 0.374507 5.872884
0.282828 0.436925 6.795989
0.323232 0.499343 7.703177
0.363636 0.561761 8.594448
0.404040 0.624179 9.469802
0.444444 0.686597 10.329240
0.484848 0.749014 11.172761
0.525253 0.811432 12.000365
0.565657 0.873850 12.812052
0.606061 0.936268 13.607822
0.646465 0.998686 14.387675
0.686869 1.061104 15.151612
0.727273 1.123522 15.899631
0.767677 1.185939 16.631734
0.808081 1.248357 17.347920
0.848485 1.310775 18.048189
0.888889 1.373193 18.732542
0.929293 1.435611 19.400977
0.969697 1.498029 20.053496
1.010101 1.560447 20.690097
1.050505 1.622865 21.310782
1.090909 1.685282 21.915550
1.131313 1.747700 22.504401
1.171717 1.810118 23.077336
1.212121 1.872536 23.634353
1.252525 1.934954 24.175454
1.292929 1.997372 24.700638
1.333333 2.059790 25.209905
1.373737 2.122207 25.703255
1.414141 2.184625 26.180688
1.454545 2.247043 26.642204
1.494949 2.309461 27.087804
1.535354 2.371879 27.517487
1.575758 2.434297 27.931253
1.616162 2.496715 28.329102
1.656566 2.559133 28.711034
1.696970 2.621550 29.077049
1.737374 2.683968 29.427148
1.777778 2.746386 29.761329
1.818182 2.808804 30.079594
1.858586 2.871222 30.381942
1.898990 2.933640 30.668373
1.939394 2.996058 30.938887
1.979798 3.058475 31.193485
2.020202 3.120893 31.432165
2.060606 3.183311 31.654929
2.101010 3.245729 31.861776
2.141414 3.308147 32.052706
2.181818 3.370565 32.227719
2.222222 3.432983 32.386815
2.262626 3.495400 32.529995
2.303030 3.557818 32.657257
2.343434 3.620236 32.768603
2.383838 3.682654 32.864032
2.424242 3.745072 32.943544
2.464646 3.807490 33.007140
2.505051 3.869908 33.054818
2.545455 3.932326 33.086579
2.585859 3.994743 33.102424
2.626263 4.057161 33.102352
2.666667 4.119579 33.086363
2.707071 4.181997 33.054457
2.747475 4.244415 33.006635
2.787879 4.306833 32.942895
2.828283 4.369251 32.863239
2.868687 4.431668 32.767665
2.909091 4.494086 32.656175
2.949495 4.556504 32.528768
2.989899 4.618922 32.385445
3.030303 4.681340 32.226204
3.070707 4.743758 32.051047
3.111111 4.806176 31.859972
3.151515 4.868594 31.652981
3.191919 4.931011 31.430073
3.232323 4.993429 31.191248
3.272727 5.055847 30.936507
3.313131 5.118265 30.665848
3.353535 5.180683 30.379273
3.393939 5.243101 30.076781
3.434343 5.305519 29.758371
3.474747 5.367936 29.424046
3.515152 5.430354 29.073803
3.555556 5.492772 28.707643
3.595960 5.555190 28.325567
3.636364 5.617608 27.927573
3.676768 5.680026 27.513663
3.717172 5.742444 27.083836
3.757576 5.804862 26.638092
3.797980 5.867279 26.176432
3.838384 5.929697 25.698854
3.878788 5.992115 25.205360
3.919192 6.054533 24.695948
3.959596 6.116951 24.170620
4.000000 6.179369 23.629375
