# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.090151 1.129028
0.080808 0.180302 2.242142
0.121212 0.270453 3.339342
0.161616 0.360604 4.420628
0.202020 0.450755 5.486001
0.242424 0.540906 6.535460
0.282828 0.631057 7.569006
0.323232 0.721207 8.586637
0.363636 0.811358 9.588355
0.404040 0.901509 10.574159
0.444444 0.991660 11.544050
0.484848 1.081811 12.498026
0.525253 1.171962 13.436089
0.565657 1.262113 14.358239
0.606061 1.352264 15.264474
0.646465 1.442415 16.154796
0.686869 1.532566 17.029204
0.727273 1.622717 17.887699
0.767677 1.712868 18.730279
0.808081 1.803019 19.556946
0.848485 1.893170 20.367700
0.888889 1.983321 21.162539
0.929293 2.073471 21.941465
0.969697 2.163622 22.704477
1.010101 2.253773 23.451575
1.050505 2.343924 24.182760
1.090909 2.434075 24.898031
1.131313 2.524226 25.597388
1.171717 2.614377 26.280832
1.212121 2.704528 26.948361
1.252525 2.794679 27.599977
1.292929 2.884830 28.235680
1.333333 2.974981 28.855468
1.373737 3.065132 29.459343
1.414141 3.155283 30.047304
1.454545 3.245434 30.619352
1.494949 3.335585 31.175486
1.535354 3.425736 31.715706
1.575758 3.515886 32.240012
1.616162 3.606037 32.748404
1.656566 3.696188 33.240883
1.696970 3.786339 33.717448
1.737374 3.876490 34.178100
1.777778 3.966641 34.622837
1.818182 4.056792 35.051661
1.858586 4.146943 35.464572
1.898990 4.237094 35.861568
1.939394 4.327245 36.242651
1.979798 4.417396 36.607820
2.020202 4.507547 36.957075
2.060606 4.597698 37.290417
2.101010 4.687849 37.607845
2.141414 4.778000 37.909359
2.181818 4.868150 38.194959
2.222222 4.958301 38.464646
2.262626 5.048452 38.718419
2.303030 5.138603 38.956278
2.343434 5.228754 39.178224
2.383838 5.318905 39.384256
2.424242 5.409056 39.574374
2.464646 5.499207 39.748578
2.505051 5.589358 39.906869
2.545455 5.679509 40.049246
2.585859 5.769660 40.175709
2.626263 5.859811 40.286259
2.666667 5.949962 40.380895
2.707071 6.040113 40.459617
2.747475 6.130264 40.522425
2.787879 6.220414 40.569320
2.828283 6.310565 40.600301
2.868687 6.400716 40.615368
2.909091 6.490867 40.614521
2.949495 6.581018 40.597761
2.989899 6.671169 40.565087
3.030303 6.761320 40.516499
3.070707 6.851471 40.451998
3.111111 6.941622 40.371583
3.151515 7.031773 40.275254
3.191919 7.121924 40.163011
3.232323 7.212075 40.034855
3.272727 7.302226 39.890785
3.313131 7.392377 39.730801
3.353535 7.482528 39.554904
3.393939 7.572678 39.363093
3.434343 7.662829 39.155368
3.474747 7.752980 38.931729
3.515152 7.843131 38.692177
3.555556 7.933282 38.436711
3.595960 8.023433 38.165331
3.636364 8.113584 37.878038
3.676768 8.203735 37.574830
3.717172 8.293886 37.255709
3.757576 8.384037 36.920675
3.797980 8.474188 36.569726
3.838384 8.564339 36.202864
3.878788 8.654490 35.820088
3.919192 8.744641 35.421399
3.959596 8.834792 35.006796
4.000000 8.924942 34.576279
