# time pos_x pos_y
# [second] [meter] [meter]
0.000000 0.000000 0.000000
0.040404 0.106016 0.780434
0.080808 0.212033 1.544917
0.121212 0.318049 2.293449
0.161616 0.424065 3.026030
0.202020 0.530081 3.742660
0.242424 0.636098 4.443339
0.282828 0.742114 5.128066
0.323232 0.848130 5.796843
0.363636 0.954147 6.449669
0.404040 1.060163 7.086544
0.444444 1.166179 7.707468
0.484848 1.272195 8.312441
0.525253 1.378212 8.901462
0.565657 1.484228 9.474533
0.606061 1.590244 10.031653
0.646465 1.696260 10.572821
0.686869 1.802277 11.098039
0.727273 1.908293 11.607306
0.767677 2.014309 12.100621
0.808081 2.120326 12.577986
0.848485 2.226342 13.039399
0.888889 2.332358 13.484862
0.929293 2.438374 13.914373
0.969697 2.544391 14.327934
1.010101 2.650407 14.725543
1.050505 2.756423 15.107202
1.090909 2.862440 15.472909
1.131313 2.968456 15.822666
1.171717 3.074472 16.156471
1.212121 3.180488 16.474326
1.252525 3.286505 16.776229
1.292929 3.392521 17.062181
1.333333 3.498537 17.332183
1.373737 3.604554 17.586233
1.414141 3.710570 17.824332
1.454545 3.816586 18.046481
1.494949 3.922602 18.252678
1.535354 4.028619 18.442924
1.575758 4.134635 18.617219
1.616162 4.240651 18.775563
1.656566 4.346667 18.917957
1.696970 4.452684 19.044399
1.737374 4.558700 19.154890
1.777778 4.664716 19.249430
1.818182 4.770733 19.328019
1.858586 4.876749 19.390657
1.898990 4.982765 19.437344
1.939394 5.088781 19.468080
1.979798 5.194798 19.482865
2.020202 5.300814 19.481699
2.060606 5.406830 19.464582
2.101010 5.512847 19.431514
2.141414 5.618863 19.382495
2.181818 5.724879 19.317525
2.222222 5.830895 19.236604
2.262626 5.936912 19.139731
2.303030 6.042928 19.026908
2.343434 6.148944 18.898134
2.383838 6.254961 18.753409
2.424242 6.360977 18.592733
2.464646 6.466993 18.416105
2.505051 6.573009 18.223527
2.545455 6.679026 18.014998
2.585859 6.785042 17.790517
2.626263 6.891058 17.550086
2.666667 6.997074 17.293704
2.707071 7.103091 17.021370
2.747475 7.209107 16.733086
2.787879 7.315123 16.428850
2.828283 7.421140 16.108664
2.868687 7.527156 15.772527
2.909091 7.633172 15.420438
2.949495 7.739188 15.052399
2.989899 7.845205 14.668408
3.030303 7.951221 14.268466
3.070707 8.057237 13.852574
3.111111 8.163254 13.420730
3.151515 8.269270 12.972936
3.191919 8.375286 12.509190
3.232323 8.481302 12.029493
3.272727 8.587319 11.533846
3.313131 8.693335 11.022247
3.353535 8.799351 10.494697
3.393939 8.905368 9.951197
3.434343 9.011384 9.391745
3.474747 9.117400 8.816342
3.515152 9.223416 8.224988
3.555556 9.329433 7.617683
3.595960 9.435449 6.994428
3.636364 9.541465 6.355221
3.676768 9.647481 5.700063
3.717172 9.753498 5.028954
3.757576 9.859514 4.341894
3.797980 9.965530 3.638883
3.838384 10.071547 2.919921
3.878788 10.177563 2.185008
3.919192 10.283579 1.434144
3.959596 10.389595 0.667329
4.000000 10.495612 -0.115437
