18.594938 -9.297469 -51.136081 -0.446279
9.634309 -4.813522 -26.496167 -0.231768
15.673357 -7.824860 -43.107642 -0.377933
15.174674 -7.570173 -41.738935 -0.366767
4.839505 -2.412454 -13.312289 -0.117243
14.178547 -7.062545 -39.004369 -0.344294
17.990429 -8.954517 -49.494028 -0.437875
19.092587 -9.495904 -52.529810 -0.465781
9.608183 -4.775111 -26.436994 -0.234944
14.334986 -7.118850 -39.445532 -0.351336
10.763349 -5.341093 -29.619502 -0.264408
16.571558 -8.217051 -45.606149 -0.408027
7.117053 -3.526326 -19.587996 -0.175639
12.930819 -6.402029 -35.591443 -0.319847
7.988755 -3.952208 -21.990160 -0.198055
7.788077 -3.849992 -21.439235 -0.193521
4.464091 -2.205115 -12.289715 -0.111178
17.208223 -8.493811 -47.377763 -0.429542
10.706018 -5.280350 -29.477881 -0.267843
17.605807 -8.676778 -48.479032 -0.441458
16.831775 -8.288960 -46.350846 -0.423002
18.173020 -8.942615 -50.047752 -0.457737
18.991048 -9.337990 -52.304150 -0.479415
12.155043 -5.972110 -33.479074 -0.307533
5.534091 -2.716966 -15.243791 -0.140330
7.205247 -3.534703 -19.848389 -0.183114
11.492488 -5.633576 -31.660675 -0.292720
3.345858 -1.638866 -9.218141 -0.085410
7.562785 -3.701546 -20.837583 -0.193484
3.122372 -1.527043 -8.603594 -0.080058
2.859359 -1.397334 -7.879411 -0.073476
8.220349 -4.014084 -22.654006 -0.211702
15.718083 -7.669378 -43.319559 -0.405683
11.149828 -5.436169 -30.731400 -0.288408
11.600942 -5.651736 -31.976959 -0.300733
10.668426 -5.193410 -29.408574 -0.277163
0.417017 -0.202848 -1.149628 -0.010858
18.668210 -9.073635 -51.467813 -0.487107
1.226800 -0.595820 -3.382491 -0.032080
10.280336 -4.988974 -28.346521 -0.269407
2.794833 -1.355258 -7.706869 -0.073400
1.695217 -0.821398 -4.674953 -0.044617
12.261659 -5.936618 -33.816667 -0.323411
8.789691 -4.252310 -24.242918 -0.232333
13.362103 -6.459327 -36.856645 -0.353949
6.551293 -3.164466 -18.071647 -0.173908
